question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_n,valid_pct,eligible_n,eligible_pct,total_n,total_pct,report_base,group_keys,group_codes,group_labels
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,10,Military Intelligence,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,2,Air Defense Artillery,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,4,Aviation,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,8,Infantry,9,101,8.91,101,8.91,101,8.91,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,11,Military Police,8,101,7.92,101,7.92,101,7.92,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,3,Armor,8,101,7.92,101,7.92,101,7.92,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,1,Administration,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,15,Transportation,7,101,6.93,101,6.93,101,6.93,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,12,Signal,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,14,Supply,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,6,Field Artillery,6,101,5.94,101,5.94,101,5.94,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,13,Special Forces,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,16,Other,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,5,Corp of Engineers,4,101,3.96,101,3.96,101,3.96,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,9,Medical,3,101,2.97,101,2.97,101,2.97,eligible,,,
QID19730738,Q2.6,What is your primary MOS Branch category?,MC,,Q2.6,nominal,7,Food Service,2,101,1.98,101,1.98,101,1.98,eligible,,,
